发布时间,问题,回答
1292848503,2010 年你看过的最好的书是哪本？为什么？,<b> Rework</b> 
1292928617,知乎的用户界面是谁设计的？," Dison Du (@disinfeqt on Twitter) ，就是他，被认为是大陆最好的设计师之一。<br>(  <a href=""https://link.zhihu.com/?target=http%3A//www.quora.com/Who-are-the-best-web-product-designers-in-Mainland-China/answer/Lawrence-Li"" class="" external"" target=""_blank"" rel=""nofollow noreferrer""><span class=""invisible"">http://www.</span><span class=""visible"">quora.com/Who-are-the-b</span><span class=""invisible"">est-web-product-designers-in-Mainland-China/answer/Lawrence-Li</span><span class=""ellipsis""></span></a> )<br><br>他目前也在「知乎」上，他叫 杜潇。 "
1292941760,有女儿后让李申申有了什么改变？,<ul><li>做大部分决定的时候都会加一个跟她有关的前提<br></li><li>对电影电视剧中的父女相处桥段更关注了</li><li>觉得自己更有力量了(或者希望自己那样)</li></ul>
1293115344,知乎使用什么工具来控制版本？为什么？, 我们使用 Git 来进行代码的版本管理。<br><br>这也是我们第一次使用 Git 这样的分布式版本控制系统，当初选择它的理由有几点：<br><ul><li>分布式代码 Hosting，不需要考虑代码备份的问题<br></li><li>可以本地 Commit，保证代码随时在控制状态下<br></li><li>Linux 内核开发能使用它进行管理，足以应付知乎的情况<br></li><li>比 Subversion 更轻、更快，不会污染代码中的子目录<br></li></ul><br>目前看来，选择 Git 是正确的。 
1293190096,知乎的域名是什么？," 知乎目前还处于内测的初期，暂时使用 IP 地址，没有指向域名 <a href=""http://zhihu.com"" class=""internal""><span class=""invisible"">http://</span><span class=""visible"">zhihu.com</span><span class=""invisible""></span></a> "
1293198543,为什么你太太喜欢韩剧？, 自己一直对「韩剧」不感兴趣，尝试从另一个角度来看，韩剧能给她温暖、放松的感觉，偶尔还能感受到曾经恋爱的幸福。 
1293267949,为什么知乎有的人有头像，有的人无法添加个人头像？, 头像功能还处于「内测」中的内测，不过很快就能使用了。<br><br>对于有急切需求的内测用户，我们可以提前单独提供此功能。<br><br>UPDATE: 以上回答内容的时间是内测期，目前头像功能（个人和话题）已经全面支持。<br>头像更新方法是，进入个人页面或话题页面，鼠标划过左侧的默认头像，出现「修改头像」或「修改图片」，点击修改。 
1293413570,周源是谁？, 永远能保持激情的创业者，总能给同行的伙伴前进的力量。<br><br>稍微偏执，但总在自省中。<br><br>善良的人。 
1293414597,如何得知知乎有多少用户和多少问答？," 所有问题列表在这儿：  <a href=""http://www.zhihu.com/log/questions"" class=""internal""><span class=""invisible"">http://www.</span><span class=""visible"">zhihu.com/log/questions</span><span class=""invisible""></span></a> "
1293515740,为什么首页上或用户主页上的“我关注的问题”不是最全的？, 这是一个未完成功能，稍后将能看到所有的「我关注的问题」，会按照「关注」的时间顺序排列 
1293586318,知乎的标准色为何选了蓝色？, 蓝色代表智慧、理智、纯净、永恒，这也是我们希望「知乎」拥有的气质。 
1293697032,如何启用 iPhone 4 的彩信功能？,<b>Settings -&gt; Messages -&gt; MMS Messaging -&gt; ON</b> 
1294133087,电影《社交网络》给你最深的感受是什么？, 改变世界只需要一台电脑和一个大脑。 
1294160665,为什么现在知乎自动删除答案中的空格了？是 bug 吗？, 此问题是今晚版本更新造成的，因文本过滤中的一个 Bug 导致，现已修正。很抱歉给大家带来使用上的不便，感谢你们的耐心。 
1294306119,这个世界上有哪些美女程序员或工程师？,"<b>Leah Culver</b><br><br><b></b>Pownce 的联合创始人和首席程序员<br>目前在为 Plancast 开发一款 iPhone App<br><br>有图为证：<br><a href=""https://link.zhihu.com/?target=http%3A//topstartup.com/2007/07/20/pownce-lead-developer-leah-culver-looks-like-veronica-mars/"" class="" external"" target=""_blank"" rel=""nofollow noreferrer""><span class=""invisible"">http://</span><span class=""visible"">topstartup.com/2007/07/</span><span class=""invisible"">20/pownce-lead-developer-leah-culver-looks-like-veronica-mars/</span><span class=""ellipsis""></span></a> "
1294326939,知乎用户有人使用投票中的「反对」功能（向下箭头）吗？, 我使用过。<br><br>但我猜测大部分用户不会使用，即使「反对」，也是选择沉默。<br>回答人不会知道谁「反对」了自己的答案，这个投票主要会对答案的排序产生影响。 
1294379102,如何判断一个司机的经验是否丰富？, 看跟车的情况，与前车保持不变的车距，且距离较近，是老司机。 
1294379283,你在用什么汽车导航产品？, 高德 for iPhone<br><br>Google Maps 
1294389691,为什么软件开发需要重构？,<ul><li>「重构」并不是完全打翻重来，最开始的设计也并非一无是处。</li><li>软件开发是一个过程，软件使用的人群、环境都可能在进行中发生变化，当初设计中的一些假设、条件都会变化，这就需要根据新的状况做出调整。「重构」是代码层面的「重设计」，代码是软件的实现方式，设计做出调整，代码当然也要调整。</li><li>「重构」也是对原有代码的完善，消除代码中的腐臭味，让代码更健壮、效率更高、更易维护。这是软件开发的规律决定的，没有人能一次写出完善的代码。<br></li></ul>
1294401108,如果 Groupon 进入中国，还能起个什么中文名？, 「团乎」 
1294749827,知乎为什么不兼容 Mobile Safari？, 目前，「知乎」在 iOS 上的 Safari 有两个主要问题，页面样式和编辑器，我们将很快解决掉它们。<br><br><b>更新：这两个问题已经解决</b> 
1295405651,本姓肖 2014年1月28日9：46生 取名 男孩 谢谢?, 起名这个事情没有标准的方法可参考，我的做法是，首先每天强迫想2、3个出来，然后每隔一段时间再删掉一些，到她快出生了，我最终挑两个，出生的时候二选一。<br><br>选名字有些简单考虑：<br><ul><li>念起来不拗口</li><li>有些简单的寓意</li><li>名字别给她未来带来麻烦（比如某些生僻字不能正常录入）</li></ul><br><br>其实名字就是代号，好认好记好读，都是好名字。 
1295406153,高戈是谁？, 我没见过高戈（每天被人叫「高哥」也蛮幸福的），仅通过 SEMWATCH 有些简单了解，大致给我两个印象：<br><ul><li>写的一手好文章</li><li>缜密的逻辑分析</li></ul>
1295407563,微博机在中国有市场吗？, 围脖机在中国不会有市场，但类似的 Twitter 机在国外也许会有市场。<br><br>国内用户总是喜欢功能复杂一点的产品，且500元的价格并不便宜。对于很多拥有 iPhone、Andriod 的围脖用户，再带一台围脖机也多余。<br><br>如果 Twitter 出一台很酷的 推特机，国内不少用户也会购买吧，如果它还能免翻墙的话。 
1295698904,为什么在 iPad 上访问知乎，不能回答问题？," 请参考 <a href=""http://www.zhihu.com/question/19553087"" class=""internal""><span class=""invisible"">http://www.</span><span class=""visible"">zhihu.com/question/1955</span><span class=""invisible"">3087</span><span class=""ellipsis""></span></a> 中的回答。 "
1296006063,为什么 Dreamweaver 这类所见即所得的编辑器会生成很多垃圾代码？, 网页的基础技术并不复杂，但基于它们构造的页面是可以万千变化的。<br>英文 26 个字母不多，但基于它们构造的文章万千。<br><br>不是 Adobe 不想产生更优雅的代码，是他们做不到。要让所有人通过简单的托拽画出漂亮的页面，只能自己设置很多冗肿的规则，最终的结果是，页面画出来了，代码也不能看了。 
1296128653,为什么邮件，总显示“外链方法出错”呢？, 是我们使用的图片服务还不稳定，在一些邮件中会有此类现象，很快将改善。 
1296227893,为什么在所有在线服务中使用完全一样的头像？,<ul><li>方便识别</li><li>就这么一张拿得出手的照片</li><li>向互联网资深用户学习，Keso 基本使用各种戴棒球帽的照片</li></ul>
1296230420,怎么能让知乎的速度提升？, 目前我们的服务器在美国，这会有一定的网络延迟，近期（2周左右）会迁回国内。<br>现在用户增加，我也观察到一些操作慢到无法忍受，这是初期部分设计的问题，会尽快优化调整。<br>另，我们的硬件配置很低，但其实在以不高的负载应对目前的访问，所以请相信知乎团队有能力改善访问的体验。 
1296231003,为什么「你可能感兴趣的人或话题」没有「不感兴趣」这个选项？, 现在已经可以「不感兴趣」我们的推荐了。 
1296276428,知乎什么时候会有「建议修改」的功能？, 是的。我们也有同感，下次重要更新的时候，将会有这样的功能。 
1296294523,为什么提交答案后退出登录了？, 抱歉，我们需完善的系统给你带来糟糕的体验，这个问题确实首次遇到，我们也会多做测试，争取重现修复。 
1296300248,知乎何时为 iPhone 定制「添加到主屏幕」的图标？, 现在已经有定制图标了。<br>iPhone 4 上的图标质量还会改善。 
1296305334,知乎通过什么机制维持或提高用户的热情？, 这是我们一直在思考的问题。<br><br><ul><li>「知乎」产品本身是必要条件，良好的体验才能保证用户喜欢使用。<br></li><li>高质量的问题和答案是充分条件，它能激发用户的思考，会带来更多的优质信息。<br></li></ul><br><br>围绕上面两点，我们其实就有很多工作要做，所以先做好它们吧。<br>也希望大伙见仁见智，多提宝贵建议。 
1296307043,知乎的个性域名为什么要加 /people/ ？, 我们在设计时，认为目前的 Url 设计更适用于中文环境，也能更清晰表达页面内容，所以并没有采取类似 Quora 的 Url 设计。<br><br>我们知道短地址是必须的，稍后你将会看到我们很有特色的「个性短域名」。 
1296310221,为什么到目前为止，知乎上讨论淘宝的话题非常少？, 没有特别原因，可能还是相关的用户少了点儿，也许你可以多问些这方面的问题，我们争取邀请合适的人来回答。 
1296310795,在知乎上怎么能看到目前所有的话题？, 我的建议，在搜索中直接输入你感兴趣的话题，如果没有找到，就提一个这方面的问题，为它增加这个话题。<br><br>其实你需要的是一个「随便逛逛」的功能。 
1296311389,知乎目前有没有比较清晰的商业模式？, 坦率讲，还没有详细的思考过，产品和内容的质量是现在占据我们头脑的两个东西。 
1296311521,当前的微博服务，可以发展出如 “知乎” 这种针对互动提问的服务吗？, 也许不会那么简单，但如果他们要做，我猜他们会参考 Facebook 的做法。 
1296381392,知乎是怎么处理重复问题的？, 随着知乎内容的增多，「类似问题合并」的功能开始被需要了。我们将不强行阻拦用户提交重复问题（也很难做到），但我们可以把类似的问题归并到一个。 
1296386341,常会碰到右下角跳出弹窗广告（电信和网通的插入广告），网站运营者有什么技术或者商业手段不让这些弹窗跳出打扰网站用户吗？,<ul><li>避免使用运营商的 DNS</li><li>引导用户使用更安全的浏览器，如 Chrome</li><li>为用户开发浏览器插件，做信息屏蔽和过滤</li></ul>
1296394054,如何使用知乎的「投票」和「感谢」功能？, 「投票」其实表示你是否赞同或认可这个答案，向上的箭头表示「赞同」，也有提升答案位置的意味，向下的箭头表示「反对」，会让答案下沉。<br><br>「感谢」就是一个动作，你可以各种理由（提供了有价值的信息、为解决问题贡献思路、积极参与回答）感谢别人，对方能收到通知。 
1296394546,如何鼓励用户投票？, 「投票」这个行为其实要看个人的习惯，我们并不强求用户要做投票的动作。<br><br>我们更希望鼓励用户多提好问题，贡献有价值的答案，这是最重要的。<br>当一个用户做出了一些回答，他会收到别人的反馈（其他人会对他的答案投票），自然能发现投票这个功能的重要。 
1296395260,怎样才能拥有“知乎”的邀请名额呢？, 经常上「知乎」提好问题，提交好答案。<br><br>「知乎」每隔一段时间，会根据计算为用户新增邀请名额。 
1296397068,知乎打算如何勾引「各路的」「真正的」高手窝在这里且赖在这里？,<ul><li>让「高手」的高质量答案被更多人看到<br></li><li>让「高手」意识到，他能在知乎帮助更多的人</li><li>留住「高手」的爱人</li></ul><br><br>其实每个人都在一两个领域是「高手」，敞开你的头脑，把你的智慧在知乎做个备份吧。 
1296397888,知乎的使用方式和整体体验是否有点高端？你的感觉？, 使用方式应该没有高端、低端之分。<br><br>整体体验高端，这是否源于「知乎」中的意见领袖相对多一点。 
1296399609,为什么知乎中所有提问都不是用户所有，但答案是？如何防止问题被改得远离初衷，面目全非？, 首先说声「抱歉」。<br><br>「知乎」产品在初期设计中，把「问题」定义为公共资源，所以可以看到，任何人都能修改问题本身和补充说明，这包括普通用户和知乎团队人员，目的都是为了让问题更清晰、更容易被理解和回答。<br>但在产品内测和上线后，关于问题修改这个功能，遭到了不少用户的质疑和反抗，也让我们开始重新审视它。<br><br>很希望听到更多用户对于问题修改功能的看法和建议。 
1296441331,李申申是谁？, 此时是一个超级奶爸。 
1296530741,在知乎如何提问更容易获得答案？,<ul><li>问题本身要清晰，明确要问什么</li><li>邀请合适的人来回答</li><li>给问题加上合适的话题</li></ul>
1296531236,你用 iPad 横屏多还是竖屏多呢？如果都有，是什么 App 用横或竖屏？, 相对还是横屏用的多些，因为 Safari、Flipboard 和 Mail 的使用时间长。 
1296532231,我匿名问或答一个问题，这个地球上谁有权限查看我的身份？, 匿名用户信息的查看只有一种方式，就是详细分析数据库中的源数据来判定。「知乎」团队能访问数据库的成员不超过两人。<br><br>因为「知乎」的匿名状态是可逆的，所以总是会把匿名状态跟用户绑定，通过数据分析发现匿名用户的做法总是不可避免。<br>未来我们会做一个事情，就是把匿名用户的数据分别放置，且数据访问的权限分离，也就是说，争取做到同时两人配合才能分析数据，才能查看匿名用户信息。 
1296533027,邀请链接发送后，发现邀请对象的邮箱写错了，可以撤销并恢复这个邀请名额吗？, 这个问题应该是在我们设计功能时，没有考虑的很细致，根据大家的意见，我们将很快加入撤销，或者 Email 地址纠错。 
1296554408,为什么有些网站注册用户名可以用四个字母，但有些却规定最短必须不少于六个字母呢？, 我知道的原因有这么几个：<br>少于4位的名字多半没有意义；<br>保护一些短字母地址；<br>无目的性，纯粹模仿； 
1296645494,在知乎的「你可能感兴趣的人或话题」列表中点「关注」后，被点击项会立刻消失，这样的刷新机制是否合理?, 感谢反馈。<br>你说的很对，点击消失这种机制确实不太合理，所以我们已经着手修改了。可能的方案是，「关注」后不消失，当页面刷新后消失。 
